url,name,cost_sgd,sell_sgd,sold,reviews,rating,images,shop
https://shopee.sg/waterproof-mattress-protector-baby-crib-cover-i.15050500.3177481855,"Waterproof Mattress protector baby crib cover",6,39,5000,2083,4.93,9,"maternityexpress"
https://shopee.sg/bamboo-shoe-rack-shoe-bench-for-changing-shoes-waterproof-strong-durable-bamboo-i.1022508.534784603,"Bamboo Shoe Rack Shoe Bench for Changing Shoes Waterproof Strong Durable Bamboo",17.18,49,5000,2063,4.77,9,"GTHome (Singapore) "
https://shopee.sg/snb-90-foldable-multifunctional-laptop-study-table-desk-movable-computer-bedroom-table-sofa-side-tab-i.1093115257.25462474209,"SNB 90° Foldable Multifunctional Laptop Study Table Desk Movable Computer Bedroom Table Sofa Side Table With Wheels",27.1,59,5000,2017,3.81,9,"SUNNY BIERE OS.sg "
https://shopee.sg/snb-foldable-table-folding-computer-table-dining-table-study-tables-long-desk-training-table-office-i.1093115257.24760771718,"SNB Foldable Table Folding Computer Table Dining Table Study Tables Long Desk Training Table Office DeskFreeinstallation",40.6,69,5000,1998,4.33,9,"SUNNY BIERE OS.sg "
https://shopee.sg/jiji-sg-floor-chairs-cotton-suede-bean-bag-floor-sofa-lazy-sofa-i.31165845.7941976133,"JIJI.SG Floor Chairs (Cotton Suede) Bean Bag Floor Sofa Lazy Sofa",25.44,59,5000,1990,4.88,7,"JIJI.SG Official Store"
https://shopee.sg/sexy-mama-hdb-bto-upgraded-shoe-rack-multi-layer-storage-rack-in-sg-stock-i.858734984.18849141682,"sexy mama hdb bto upgraded shoe rack multi-layer storage rack in SG stock",27,59,5000,1989,4.72,8,"SEXY MAMA"
https://shopee.sg/epinova-fitted-waterproof-fitted-mattress-protector-4-sizes-bed-protector-antibacterial-and-anti-mit-i.27122064.2005786201,"Epinova Fitted Waterproof Fitted Mattress Protector [4 Sizes] | Bed Protector | Antibacterial And Anti-Mite",33.93,59,5000,1988,4.91,4,"Epitex Official Store"
https://shopee.sg/homie-ultrasoft-babycot-waterproof-bamboo-mattress-protector-cooling-waterproof-bedsheet-breathable-i.760726.7646494246,"🏅HOMIE UltraSoft BabyCot Waterproof Bamboo Mattress Protector/Cooling Waterproof Bedsheet/Breathable",7.99,39,5000,1979,4.96,9,"HOMIE Official Store"
https://shopee.sg/lili-3-10-layers-foldable-shoe-box-transparent-shoe-cabinet-stackable-shoe-storage-box-home-shoe-rac-i.1389128163.29370159896,"LILI 3-10 Layers Foldable Shoe Box Transparent Shoe Cabinet Stackable Shoe Storage Box Home Shoe Rack Cabinet",10.18,39,5000,1959,4.89,9,"LILI Home"
https://shopee.sg/mixshop-adjustable-upgraded-shoe-organizer-shoe-organiser-shoe-rack-shoe-stacker-i.286076538.24972514990,"mixshop Adjustable Upgraded Shoe Organizer, Shoe Organiser, Shoe Rack, Shoe Stacker",0.81,29,5000,1950,4.88,9,"mixshopsg"
